source_file,relation_type,target,target_file,line,evidence,strength
SlideNote-main/gui/README_GUI.md,markdown_link,README_GUI.zh-CN.md,SlideNote-main/gui/README_GUI.zh-CN.md,3,[中文说明](README_GUI.zh-CN.md),strong
SlideNote-main/gui/README_GUI.zh-CN.md,markdown_link,README_GUI.md,SlideNote-main/gui/README_GUI.md,3,[English](README_GUI.md),strong
SlideNote-main/gui/app.py,python_import,__future__,__future__,1,"from __future__ import annotations

import io
import json
import os
import re
import shutil
import subprocess
import time
import zipfile
from datetime import datetime
from pathlib import Path
from typ",medium
SlideNote-main/gui/app.py,python_import,slidenote.costing,slidenote.costing,18,"    from slidenote.costing import write_cost_report
except Exception",medium
SlideNote-main/gui/app.py,python_import,slidenote.doctor,slidenote.doctor,23,"    from slidenote.doctor import run_doctor
except Exception",medium
SlideNote-main/gui/studio_core.py,python_import,__future__,__future__,1,"from __future__ import annotations

import os
import re
import sys
from dataclasses import dataclass
from pathlib import Path
from typing import Any

PROVIDER_ENV_KEYS",medium
SlideNote-main/scripts/generate_cost_report.py,python_import,__future__,__future__,1,"from __future__ import annotations

import argparse
from pathlib import Path

from slidenote",medium
SlideNote-main/slidenote/__main__.py,python_import,.cli,.cli,1,"from .cli import main


if __name__ ",medium
SlideNote-main/slidenote/__main__.py,symbol_call,main,SlideNote-main/scripts/generate_cost_report.py,5,main(,strong
SlideNote-main/slidenote/api_retry.py,python_import,__future__,__future__,1,"from __future__ import annotations

import random
import re
import time
import urllib",medium
SlideNote-main/slidenote/api_retry.py,python_import,dataclasses,dataclasses,7,"from dataclasses import dataclass
from typing import Callable, Generic, TypeVar

T ",medium
SlideNote-main/slidenote/build_pipeline.py,python_import,__future__,__future__,1,"from __future__ import annotations

from slidenote",medium
SlideNote-main/slidenote/build_pipeline.py,python_import,slidenote.build.errors,slidenote.build.errors,4,"from slidenote.build.errors import UserFacingConfigError
from slidenote",medium
SlideNote-main/slidenote/build_pipeline.py,python_import,slidenote.build.state,slidenote.build.state,6,"from slidenote.build.state import BuildState

__all__ ",medium
SlideNote-main/slidenote/cli.py,python_import,__future__,__future__,1,"from __future__ import annotations

import argparse
import sys
from pathlib import Path

from slidenote",medium
SlideNote-main/slidenote/cli.py,python_import,slidenote.doctor,slidenote.doctor,14,"from slidenote.doctor import render_doctor_report, run_doctor
from slidenote",medium
SlideNote-main/slidenote/cli.py,python_import,slidenote.utils,slidenote.utils,16,"from slidenote.utils import write_json


def main",medium
SlideNote-main/slidenote/cli.py,symbol_call,main,SlideNote-main/scripts/generate_cost_report.py,19,main(,strong
SlideNote-main/slidenote/composite_figures.py,python_import,__future__,__future__,1,"from __future__ import annotations

import math
from dataclasses import dataclass
from pathlib import Path
from statistics import median
from typing import Any

from PIL import Image

from slidenote",medium
SlideNote-main/slidenote/composite_figures.py,python_import,slidenote.image_assets,slidenote.image_assets,12,"from slidenote.image_assets import image_metadata
from slidenote",medium
SlideNote-main/slidenote/composite_figures.py,python_import,slidenote.models,slidenote.models,14,"from slidenote.models import Deck, ImageAsset, SlidePage, TableBlock, TextBlock, normalize_rel_path


COMPOSITE_FIGURE_MODES ",medium
SlideNote-main/slidenote/composite_figures.py,symbol_call,utc_now_iso,SlideNote-main/slidenote/llm_cache.py,79,utc_now_iso(,strong
SlideNote-main/slidenote/content_guard.py,python_import,__future__,__future__,1,"from __future__ import annotations

import json
import re
from dataclasses import dataclass
from pathlib import Path
from typing import Any

from slidenote",medium
