source_file,relation_type,target,target_file,line,evidence,strength
STM32-RFID-Access-Control-System-main/README.md,markdown_link,https://img.shields.io/badge/Platform-STM32-blue,https://img.shields.io/badge/Platform-STM32-blue,3,[Platform](https://img.shields.io/badge/Platform-STM32-blue),weak
STM32-RFID-Access-Control-System-main/README.md,markdown_link,https://img.shields.io/badge/MCU-STM32F103C8T6-green,https://img.shields.io/badge/MCU-STM32F103C8T6-green,4,[MCU](https://img.shields.io/badge/MCU-STM32F103C8T6-green),weak
STM32-RFID-Access-Control-System-main/README.md,markdown_link,https://img.shields.io/badge/RFID-MFRC522-orange,https://img.shields.io/badge/RFID-MFRC522-orange,5,[RFID](https://img.shields.io/badge/RFID-MFRC522-orange),weak
STM32-RFID-Access-Control-System-main/README.md,markdown_link,https://img.shields.io/badge/Language-C%20%2B%20Python-purple,https://img.shields.io/badge/Language-C%20%2B%20Python-purple,6,[Language](https://img.shields.io/badge/Language-C%20%2B%20Python-purple),weak
STM32-RFID-Access-Control-System-main/README.md,markdown_link,https://img.shields.io/badge/Version-v2.0-red,https://img.shields.io/badge/Version-v2.0-red,7,[Version](https://img.shields.io/badge/Version-v2.0-red),weak
STM32-RFID-Access-Control-System-main/README.md,markdown_link,https://img.shields.io/badge/Status-Completed-brightgreen,https://img.shields.io/badge/Status-Completed-brightgreen,8,[Status](https://img.shields.io/badge/Status-Completed-brightgreen),weak
STM32-RFID-Access-Control-System-main/access.c,c_include,access.h,STM32-RFID-Access-Control-System-main/access.h,1,"#include ""access.h""",strong
STM32-RFID-Access-Control-System-main/access.h,c_include,stm32f10x.h,stm32f10x.h,3,"
#include ""stm32f10x.h""",weak
STM32-RFID-Access-Control-System-main/access.h,symbol_call,IsSameUID,STM32-RFID-Access-Control-System-main/access.c,14,IsSameUID(,strong
STM32-RFID-Access-Control-System-main/access.h,symbol_call,FindCardIndex,STM32-RFID-Access-Control-System-main/access.c,15,FindCardIndex(,strong
STM32-RFID-Access-Control-System-main/access.h,symbol_call,IsNewCard,STM32-RFID-Access-Control-System-main/access.c,17,IsNewCard(,strong
STM32-RFID-Access-Control-System-main/buzzer.c,c_include,stm32f10x.h,stm32f10x.h,1,"#include ""stm32f10x.h""",weak
STM32-RFID-Access-Control-System-main/buzzer.c,c_include,buzzer.h,STM32-RFID-Access-Control-System-main/buzzer.h,2,"#include ""buzzer.h""",strong
STM32-RFID-Access-Control-System-main/buzzer.c,c_include,delay.h,STM32-RFID-Access-Control-System-main/delay.h,3,"#include ""delay.h""",strong
STM32-RFID-Access-Control-System-main/buzzer.c,symbol_call,delay_ms,STM32-RFID-Access-Control-System-main/delay.c,28,delay_ms(,strong
STM32-RFID-Access-Control-System-main/buzzer.c,symbol_call,delay_ms,STM32-RFID-Access-Control-System-main/delay.c,39,delay_ms(,strong
STM32-RFID-Access-Control-System-main/buzzer.c,symbol_call,delay_ms,STM32-RFID-Access-Control-System-main/delay.c,41,delay_ms(,strong
STM32-RFID-Access-Control-System-main/buzzer.c,symbol_call,delay_ms,STM32-RFID-Access-Control-System-main/delay.c,52,delay_ms(,strong
STM32-RFID-Access-Control-System-main/buzzer.c,symbol_call,delay_ms,STM32-RFID-Access-Control-System-main/delay.c,54,delay_ms(,strong
STM32-RFID-Access-Control-System-main/buzzer.h,symbol_call,Buzzer_Init,STM32-RFID-Access-Control-System-main/buzzer.c,4,Buzzer_Init(,strong
